timestamp_utc,row_index,total_rows,patent_id,source_pdf,parse_status,parse_error,used_ocr,text_length
2026-05-11T09:10:35.733019+00:00,55,500,CN112437992B,CN112437992B.pdf,success,,False,8795
2026-05-11T09:11:03.791906+00:00,56,500,CN104466254A,CN104466254A.pdf,success_ocr,,True,6292
2026-05-11T09:11:03.815575+00:00,57,500,CN107482173A,CN107482173A.pdf,success,,False,7435
2026-05-11T09:11:03.856119+00:00,58,500,CN111933902A,CN111933902A.pdf,success,,False,18191
2026-05-11T09:11:03.911644+00:00,59,500,CN105993088B,CN105993088B.pdf,success,,False,38692
2026-05-11T09:11:52.589395+00:00,60,500,CN105304859A,CN105304859A.pdf,success_ocr,,True,12346
2026-05-11T09:11:52.635038+00:00,61,500,CN117276806A,CN117276806A.pdf,success,,False,8109
2026-05-11T09:11:52.660521+00:00,62,500,CN111211328A,CN111211328A.pdf,success,,False,9285
2026-05-11T09:11:52.685396+00:00,63,500,CN108470911A,CN108470911A.pdf,success,,False,13297
2026-05-11T09:11:52.707260+00:00,64,500,CN221282297U,CN221282297U.pdf,success,,False,12329
2026-05-11T09:11:52.739192+00:00,65,500,CN111933902B,CN111933902B.pdf,success,,False,18642
2026-05-11T09:11:52.765283+00:00,66,500,CN109888284B,CN109888284B.pdf,success,,False,11928
2026-05-11T09:11:52.790677+00:00,67,500,CN109888234B,CN109888234B.pdf,success,,False,13488
2026-05-11T09:11:52.818782+00:00,68,500,CN111354904A,CN111354904A.pdf,success,,False,17914
2026-05-11T09:11:52.839359+00:00,69,500,CN114920929A,CN114920929A.pdf,success,,False,9222
2026-05-11T09:12:25.860910+00:00,70,500,CN103165897A,CN103165897A.pdf,success_ocr,,True,7680
2026-05-11T09:14:35.094630+00:00,71,500,CN105993088A,CN105993088A.pdf,success_ocr,,True,35749
2026-05-11T09:14:35.118036+00:00,72,500,CN111211302A,CN111211302A.pdf,success,,False,8158
2026-05-11T09:14:35.148988+00:00,73,500,CN108281660A,CN108281660A.pdf,success,,False,9861
